Player,Position,Age,Games,GS,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FG2,FG2A,FG2_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ryan Gomes,SF,29,32,2,425,31,95,.326,4,29,.138,27,66,.409,.347,8,11,.727,14,47,61,12,16,0,15,34,74
Drew Gooden,C,30,56,46,1469,287,657,.437,16,55,.291,271,602,.450,.449,176,208,.846,130,233,363,144,46,34,109,112,766
Ben Gordon,SG,28,52,21,1398,234,530,.442,63,147,.429,171,383,.446,.501,117,136,.860,14,107,121,127,34,11,115,114,648
Eric Gordon,SG,23,9,9,310,63,140,.450,10,40,.250,53,100,.530,.486,49,65,.754,2,23,25,31,13,4,24,20,185
Marcin Gortat,C,27,66,66,2114,427,769,.555,0,2,.000,427,767,.557,.555,163,251,.649,185,474,659,59,48,99,90,142,1017
Andrew Goudelock,SG,23,40,0,419,68,174,.391,28,75,.373,40,99,.404,.471,11,12,.917,5,26,31,20,4,0,21,32,175
Danny Granger,SF,28,62,62,2062,391,941,.416,123,323,.381,268,618,.434,.481,254,291,.873,79,228,307,109,62,40,110,144,1159
Aaron Gray,C,27,49,40,813,83,161,.516,0,0,,83,161,.516,.516,25,47,.532,83,198,281,27,22,17,51,127,191
Danny Green,SG,24,66,38,1522,211,477,.442,102,234,.436,109,243,.449,.549,79,100,.790,54,174,228,86,58,46,67,107,603
Gerald Green,SF,26,31,2,781,154,320,.481,43,110,.391,111,210,.529,.548,49,65,.754,15,93,108,34,28,17,55,80,400
Willie Green,SG,30,53,2,922,153,325,.471,50,113,.442,103,212,.486,.548,48,56,.857,15,65,80,40,23,6,33,74,404
Donté Greene,PF,23,53,7,777,108,266,.406,25,105,.238,83,161,.516,.453,44,55,.800,19,114,133,34,18,29,32,67,285
Blake Griffin,PF,22,66,66,2392,561,1022,.549,2,16,.125,559,1006,.556,.550,244,468,.521,218,499,717,210,54,48,150,216,1368
Hamed Haddadi,C,26,35,0,206,26,48,.542,0,1,.000,26,47,.553,.542,18,26,.692,28,43,71,8,1,26,21,43,70
Jordan Hamilton,SF,21,26,2,258,48,111,.432,17,47,.362,31,64,.484,.509,2,5,.400,11,51,62,20,4,3,16,15,115
Richard Hamilton,SG,33,28,28,697,140,310,.452,17,46,.370,123,264,.466,.479,29,37,.784,20,46,66,84,12,1,49,56,326
Tyler Hansbrough,PF,26,66,0,1442,194,479,.405,0,1,.000,194,478,.406,.405,226,278,.813,113,177,290,30,54,9,65,159,614
Luke Harangody,PF,24,21,1,231,23,65,.354,5,21,.238,18,44,.409,.392,9,12,.750,20,33,53,6,6,3,4,17,60
James Harden,SG,22,62,2,1946,309,629,.491,114,292,.390,195,337,.579,.582,312,369,.846,30,222,252,229,62,15,137,150,1044
Justin Harper,PF,22,14,0,84,9,31,.290,2,13,.154,7,18,.389,.323,0,1,.000,3,9,12,2,2,3,6,5,20
Josh Harrellson,PF,22,37,4,540,63,149,.423,20,59,.339,43,90,.478,.490,16,26,.615,47,97,144,11,23,20,20,48,162
Al Harrington,PF,31,64,1,1761,345,773,.446,101,303,.333,244,470,.519,.512,119,176,.676,72,318,390,88,58,12,112,181,910
Devin Harris,PG,28,63,63,1741,241,542,.445,77,213,.362,164,329,.498,.516,156,209,.746,12,100,112,316,64,13,122,136,715
Manny Harris,SG,22,26,5,456,60,150,.400,12,36,.333,48,114,.421,.440,41,59,.695,11,59,70,31,13,6,27,28,173
Terrel Harris,SG,24,22,1,318,29,83,.349,8,39,.205,21,44,.477,.398,14,21,.667,18,33,51,26,9,2,25,34,80
Tobias Harris,SF,19,42,9,479,79,169,.467,6,23,.261,73,146,.500,.485,44,54,.815,30,71,101,22,13,7,31,45,208
Udonis Haslem,PF,31,64,10,1589,151,357,.423,0,0,,151,357,.423,.423,83,102,.814,117,353,470,42,35,24,60,142,385
Spencer Hawes,C,23,37,29,920,156,319,.489,3,12,.250,153,307,.498,.494,40,55,.727,78,192,270,98,16,48,55,100,355
Chuck Hayes,C,28,54,9,1039,73,170,.429,0,2,.000,73,168,.435,.429,26,39,.667,72,162,234,77,36,17,50,111,172
Gordon Hayward,SF,21,66,58,2015,267,586,.456,55,159,.346,212,427,.496,.503,193,232,.832,59,171,230,207,53,41,109,106,782
Lazar Hayward,SF,25,26,0,141,13,38,.342,4,14,.286,9,24,.375,.395,7,12,.583,2,14,16,4,3,1,9,18,37
Brendan Haywood,C,32,54,54,1146,118,228,.518,0,0,,118,228,.518,.518,45,96,.469,139,185,324,19,24,54,46,121,281
Gerald Henderson,SG,24,55,55,1831,332,723,.459,11,47,.234,321,676,.475,.467,155,204,.760,64,161,225,126,49,20,100,128,830
Xavier Henry,SG,20,45,0,759,90,228,.395,7,17,.412,83,211,.393,.410,52,85,.612,24,82,106,35,26,8,35,59,239
Roy Hibbert,C,25,65,65,1937,332,668,.497,0,1,.000,332,667,.498,.497,170,239,.711,213,359,572,108,32,128,128,195,834
J.J. Hickson,PF,23,54,19,1244,183,392,.467,0,2,.000,183,390,.469,.467,86,134,.642,133,202,335,45,30,35,70,85,452
Cory Higgins,PG,22,38,0,423,52,160,.325,4,20,.200,48,140,.343,.338,42,60,.700,7,28,35,36,5,6,39,40,150
Nenê,C,29,39,33,1110,211,393,.537,0,4,.000,211,389,.542,.537,113,168,.673,63,228,291,80,42,38,96,95,535
George Hill,PG,25,50,9,1274,168,380,.442,54,147,.367,114,233,.489,.513,91,117,.778,31,120,151,145,42,17,52,98,481
Grant Hill,SF,39,49,46,1378,201,451,.446,14,53,.264,187,398,.470,.461,83,109,.761,29,142,171,107,41,29,65,88,499
Jordan Hill,C,24,39,8,551,82,165,.497,0,3,.000,82,162,.506,.497,30,47,.638,61,125,186,16,14,27,31,71,194
Kirk Hinrich,SG,31,48,31,1237,122,295,.414,47,136,.346,75,159,.472,.493,25,32,.781,11,90,101,132,38,11,58,100,316
Darington Hobson,SG,24,5,0,39,2,13,.154,0,6,.000,2,7,.286,.154,0,0,,0,3,3,6,0,0,2,1,4
Jrue Holiday,PG,21,65,65,2196,360,834,.432,65,171,.380,295,663,.445,.471,94,120,.783,57,155,212,290,103,18,135,137,879
Ryan Hollins,C,27,39,8,522,46,84,.548,0,0,,46,84,.548,.548,39,75,.520,34,48,82,9,5,17,35,78,131
Tyler Honeycutt,SF,21,15,0,88,8,24,.333,1,3,.333,7,21,.333,.354,3,5,.600,3,11,14,7,4,3,2,3,20
Al Horford,C,25,11,11,348,57,103,.553,0,1,.000,57,102,.559,.553,22,30,.733,26,51,77,24,10,14,16,21,136
Dennis Horner,PF,23,8,0,22,1,4,.250,0,1,.000,1,3,.333,.250,3,4,.750,2,3,5,0,0,0,1,1,5
Dwight Howard,C,26,54,54,2070,416,726,.573,0,7,.000,416,719,.579,.573,281,572,.491,200,585,785,104,81,116,175,159,1113
Josh Howard,SF,31,43,18,991,144,361,.399,9,37,.243,135,324,.417,.411,75,97,.773,39,119,158,50,32,10,53,91,372
Juwan Howard,PF,38,28,0,190,17,55,.309,0,0,,17,55,.309,.309,8,10,.800,18,29,47,10,4,1,20,18,42
Lester Hudson,PG,27,16,0,334,62,162,.383,16,64,.250,46,98,.469,.432,34,41,.829,7,39,46,36,14,3,32,26,174
Larry Hughes,PG,33,9,0,114,5,22,.227,1,7,.143,4,15,.267,.250,1,2,.500,1,4,5,7,2,0,12,10,12
Kris Humphries,PF,26,62,62,2162,323,671,.481,0,0,,323,671,.481,.481,209,278,.752,233,448,681,90,50,74,119,173,855
Serge Ibaka,PF,22,66,66,1792,262,490,.535,1,3,.333,261,487,.536,.536,78,118,.661,193,305,498,28,33,241,79,179,603
Andre Iguodala,SF,28,62,62,2209,287,632,.454,76,193,.394,211,439,.481,.514,121,196,.617,56,325,381,339,107,30,115,92,771
Ersan İlyasova,PF,24,60,41,1655,294,597,.492,51,112,.455,243,485,.501,.535,143,183,.781,196,333,529,71,42,44,76,133,782
Kyrie Irving,PG,19,51,51,1558,350,747,.469,73,183,.399,277,564,.491,.517,171,196,.872,44,147,191,275,54,20,160,110,944
Royal Ivey,SG,30,34,0,354,26,73,.356,18,53,.340,8,20,.400,.479,1,8,.125,1,23,24,10,14,0,9,36,71
Jarrett Jack,PG,28,45,39,1530,266,583,.456,39,112,.348,227,471,.482,.490,129,148,.872,23,153,176,285,31,9,106,93,700
Reggie Jackson,PG,21,45,0,501,51,159,.321,13,62,.210,38,97,.392,.362,25,29,.862,14,39,53,71,25,1,36,31,140
